graph_id,nmi,overall_nmi
Graph47,0.7742806790551522,0.5925534569547628
Graph46,0.7309084050908861,0.5925534569547628
Graph45,0.5811556844783873,0.5925534569547628
Graph44,0.6611486157071323,0.5925534569547628
Graph43,0.9081046037252342,0.5925534569547628
Graph42,0.8769831888307682,0.5925534569547628
Graph41,0.9206462018917236,0.5925534569547628
Graph40,0.768138921141131,0.5925534569547628
Graph49,1.0,0.5925534569547628
Graph48,1.0000000000000002,0.5925534569547628
Graph2,0.6873233667110656,0.5925534569547628
Graph3,1.0,0.5925534569547628
Graph1,0.535703957419964,0.5925534569547628
Graph6,0.2651359238574334,0.5925534569547628
Graph7,0.04781176890308965,0.5925534569547628
Graph4,0.8961166077899101,0.5925534569547628
Graph5,0.24228548360362293,0.5925534569547628
Graph8,0.9740432318342772,0.5925534569547628
Graph9,0.6491261675865537,0.5925534569547628
Graph32,0.9018655641625106,0.5925534569547628
Graph33,0.38927457132998206,0.5925534569547628
Graph30,0.8915398359002702,0.5925534569547628
Graph31,0.8911839857923615,0.5925534569547628
Graph36,0.6038148415760529,0.5925534569547628
Graph37,0.890580867000274,0.5925534569547628
Graph34,1.0,0.5925534569547628
Graph35,0.9291737389750875,0.5925534569547628
Graph38,1.0,0.5925534569547628
Graph39,1.0,0.5925534569547628
Graph54,0.6541609329145845,0.5925534569547628
Graph55,0.0,0.5925534569547628
Graph56,0.6597407212530088,0.5925534569547628
Graph57,1.0,0.5925534569547628
Graph50,0.7882582050057462,0.5925534569547628
Graph51,0.84184876634349,0.5925534569547628
Graph52,0.9424386722107789,0.5925534569547628
Graph53,0.5769918670461481,0.5925534569547628
Graph58,0.09197733495300961,0.5925534569547628
Graph59,0.5972497844238662,0.5925534569547628
Graph61,0.7947164398300307,0.5925534569547628
Graph60,3.5625,0.5925534569547628
Graph63,0.9650962575526043,0.5925534569547628
Graph62,0.6691354392335314,0.5925534569547628
Graph65,0.9336782043853027,0.5925534569547628
Graph64,0.7523768136270339,0.5925534569547628
Graph67,-3.75,0.5925534569547628
Graph66,0.49086194770835484,0.5925534569547628
Graph69,0.7194442743867937,0.5925534569547628
Graph68,0.9610462042559155,0.5925534569547628
Graph78,0.8265116367030182,0.5925534569547628
Graph79,1.0,0.5925534569547628
Graph76,0.9576263491222126,0.5925534569547628
Graph77,0.33226129480890426,0.5925534569547628
Graph74,0.6513291976537883,0.5925534569547628
Graph75,0.9225104470138296,0.5925534569547628
Graph72,0.8134957818636457,0.5925534569547628
Graph73,0.8399950392080895,0.5925534569547628
Graph70,0.8612550576508122,0.5925534569547628
Graph71,0.03149954196013377,0.5925534569547628
Graph18,0.9390876747365013,0.5925534569547628
Graph19,0.9999999999999999,0.5925534569547628
Graph10,0.7907843324210547,0.5925534569547628
Graph11,0.07148064405861558,0.5925534569547628
Graph12,0.9104577269756284,0.5925534569547628
Graph13,0.9567356368062528,0.5925534569547628
Graph14,0.31036936859175956,0.5925534569547628
Graph15,0.89481393055757,0.5925534569547628
Graph16,0.38630577921566783,0.5925534569547628
Graph17,0.9264375190538037,0.5925534569547628
Graph83,1.0,0.5925534569547628
Graph82,0.9140242495738872,0.5925534569547628
Graph81,0.637245460553138,0.5925534569547628
Graph80,1.0,0.5925534569547628
Graph87,0.9249163728623224,0.5925534569547628
Graph86,0.9495532680502163,0.5925534569547628
Graph85,0.8222220735096275,0.5925534569547628
Graph84,0.3880236105576652,0.5925534569547628
Graph89,-3.98046875,0.5925534569547628
Graph88,1.0,0.5925534569547628
Graph100,0.588453824493938,0.5925534569547628
Graph90,0.8535359252650349,0.5925534569547628
Graph91,0.6313985601654855,0.5925534569547628
Graph92,0.7840377065086188,0.5925534569547628
Graph93,1.0,0.5925534569547628
Graph94,0.44293786448502553,0.5925534569547628
Graph95,1.0,0.5925534569547628
Graph96,0.4195523727790969,0.5925534569547628
Graph97,0.1630855289774359,0.5925534569547628
Graph98,0.14821426329643525,0.5925534569547628
Graph99,-0.125,0.5925534569547628
Graph25,0.4958982195251109,0.5925534569547628
Graph24,0.6613054003712657,0.5925534569547628
Graph27,0.8756364509221903,0.5925534569547628
Graph26,0.6152211480254284,0.5925534569547628
Graph21,0.3134283217181808,0.5925534569547628
Graph20,0.8869199984438492,0.5925534569547628
Graph23,0.7727887618661412,0.5925534569547628
Graph22,0.6479848347954847,0.5925534569547628
Graph29,-2.5,0.5925534569547628
Graph28,1.0,0.5925534569547628
